API-Key,Mensa
133,"UBS Restaurant Opfikon - Restaurant High Noon"
137,"Restaurant Allegra"
135,"UBS Restaurant Opfikon - Restaurant Number One"
146,"Cafeteria UZH Tierspital"
142,"Mensa UZH Irchel"
140,"Restaurant Cityport"
130,"UBS Restaurant Opfikon - Restaurant High Noon"
147,"Mercato UZH Zentrum - Mercato UZH Zentrum (Untere Mensa)"
148,"Mensa UZH Zentrum - Mensa UZH Zentrum (Obere Mensa)"
149,"Mercato UZH Zentrum - Mercato UZH Zentrum (Untere Mensa) - Abendessen"
144,"Cafeteria UZH Botanischer Garten"
150,"Mensa UZH Zentrum Lichthof Rondell"
151,"Cafeteria Zentrum für Zahnmedizin (ZZM)"
153,"UBS Restaurant Key West"
157,"Restaurant St. Peter"
156,"UBS Restaurant UBStairs"
92,"Personalrestaurant Syngenta Stein"
91,"Personalrestaurant Syngenta Stein"
143,"Cafeteria UZH Plattenstrasse"
160,"Cafeteria Taubenhalde A"
169,"Bistro der Zentralbibliothek Zürich"
174,"Oase – HSLU Wirtschaft"
176,"Cafeteria UZH Irchel Atrium"
163,"Restaurant Technorama"
180,"Mensa UZH Irchel"
164,"Personalrestaurant SAG"
178,"UNIESS – Bistro Bar Lounge - Bistro"
208,"Restaurant Jungholz"
175,"Personalrestaurant Biotronik AG"
166,"Personalrestaurant Ernst Schweizer AG"
237,"Restaurant Cityport"
247,"UNIESS – Bistro Bar Lounge - Bar Lounge"
184,"Mensa UZH Binzmühle"
168,"Cafeteria Bar-A-Graph"
203,"Cafeteria Berufsmaturitätsschule Zürich"
186,"Gastronomie im Verkehrshaus der Schweiz"
159,"Restaurant Indigo"
190,"Restaurant Giardino - Restaurant Giardino"
194,"Cafeteria Kantonsschulen Stadelhofen / Hohe Promenade"
177,"Personalrestaurant des UVEK"
202,"Cafeteria Baugewerbliche Berufsschule Zürich"
200,"Cafeteria Berufsschule Mode und Gestaltung Zürich"
162,"Personalrestaurant Vitra Center"
196,"Cafeteria Kantonsschule Wiedikon"
161,"Mensa Kantonsschule Rämibühl"
195,"Cafeteria Kantonsschulen Enge / Freudenberg"
188,"Restaurant Publica"
201,"Cafeteria Berufsschule für Detailhandel Zürich"
220,"Restaurant SIG Hus"
187,"Bistro Horizont"
218,"Restaurant Riverside"
197,"Mensa Kantonsschule Zürich Nord"
291,"SRF Restaurant Novarastrasse"
209,"Mensa Freies Gymnasium"
165,"Bistro Energie 360°"
307,"UBS Restaurant Europaallee - Easy 21"
308,"UBS Restaurant Europaallee - Easy 21"
300,"Mensa SIS Zürich"
266,"ABB Restaurant Power Inn"
302,"Mensa SIS Basel"
290,"SRF Restaurant Brunnenhof"
289,"SRF Restaurant Fernsehstrasse - Mittag"
285,"UBS Restaurant UBStairs"
298,"Cantinetta Bialla"
264,"Restaurant Dällebach"
293,"UBS Coffee &amp; Shop Il Giardino"
255,"Restaurant Le Pavillon"
305,"UBS Restaurant Europaallee - Meal 21"
292,"SRF Restaurant Schwarztorstrasse"
256,"Cafeteria UZH Irchel Seerose - Mensa UZH Irchel - Cafeteria Seerose - Abendessen"
301,"Mensa SIS Basel"
267,"Cafeteria Au «T»"
322,"Mensa FKSZ"
299,"Mensa SIS Zürich"
303,"Mensa Pädagogische Hochschule Zürich"
328,"Restaurant Hangar 7"
327,"Restaurant Hangar 7"
362,"SBB Restaurant Erstfeld"
331,"Mensa Linde"
392,"Restaurant scolaire du Lycée Français de Zurich"
383,"suissetec restaurant"
369,"SBB Restaurant Weyermannshaus"
334,"Cafeteria ZHAW"
323,"Generali Restaurant Nyon - Riviera"
324,"Generali Restaurant Adliswil - Al Leone"
387,"UBS Restaurant Jazz"
365,"SBB Restaurant Reparaturcenter Altstetten"
332,"Mensa Linde"
339,"Mensa Institut Minerva"
317,"Personalrestaurant Piccolo Syngenta Münchwilen"
361,"Ristorante FFS Bellinzona"
320,"Restaurant Chez Moritz"
199,"Cafeteria Berufsschule für Gestaltung Zürich (Limmatplatz)"
351,"UBS Cafétéria St-François"
363,"SBB Restaurant RBL Ost"
360,"SBB Restaurant Arth-Goldau"
